"country","year","iso_code","population","gdp","co2","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","cumulative_co2","energy_per_capita","energy_per_gdp","oil_co2","oil_co2_per_capita","ghg_per_capita","share_global_co2","share_global_coal_co2","temperature_change_from_co2","trade_co2","co2_including_luc","co2_including_luc_per_capita","gdp_per_capita"
"Africa",1766,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1767,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1768,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1769,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1770,NA,77667559,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1771,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1772,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1773,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1774,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1775,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1776,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1777,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1778,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1779,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1780,NA,78459476,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1781,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1782,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1783,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1784,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1785,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1786,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1787,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1788,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1789,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1790,NA,79313390,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1791,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1792,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1793,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1794,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1795,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1796,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1797,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1798,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1799,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1800,NA,81273172,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1801,NA,81313551,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1802,NA,81418900,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1803,NA,81525621,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1804,NA,81633731,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1805,NA,81743247,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1806,NA,81854174,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1807,NA,81966528,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1808,NA,82080332,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1809,NA,82195596,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1810,NA,82385589,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1811,NA,82440934,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1812,NA,82579573,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1813,NA,82729616,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1814,NA,82891459,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1815,NA,83065241,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1816,NA,83251124,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1817,NA,83449261,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1818,NA,83659804,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1819,NA,83954434,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1820,NA,84418699,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1821,NA,84811641,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1822,NA,85376766,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1823,NA,86056105,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1824,NA,86755919,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1825,NA,87476538,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1826,NA,88218276,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1827,NA,88981474,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1828,NA,89766472,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1829,NA,90573904,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1830,NA,91494029,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1831,NA,92257560,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1832,NA,93125349,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1833,NA,94007792,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1834,NA,94904834,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1835,NA,95816766,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1836,NA,96743850,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1837,NA,97686357,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1838,NA,98644581,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1839,NA,99638115,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1840,NA,100772650,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1841,NA,101734515,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1842,NA,102839146,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1843,NA,103982621,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1844,NA,105146559,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1845,NA,106331394,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1846,NA,107537534,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1847,NA,108765412,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1848,NA,110015469,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1849,NA,111156406,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Africa",1850,NA,112295370,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,185.655,1.653,NA
"Africa",1851,NA,112843149,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,249.518,2.211,NA
"Africa",1852,NA,113379285,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,287.99,2.54,NA
"Africa",1853,NA,113793047,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,319.464,2.807,NA
"Africa",1854,NA,114216849,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,333.168,2.917,NA
"Africa",1855,NA,114631842,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,346.358,3.021,NA
"Africa",1856,NA,115057009,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,354.639,3.082,NA
"Africa",1857,NA,115486119,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,363.396,3.147,NA
"Africa",1858,NA,115919245,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,370.614,3.197,NA
"Africa",1859,NA,116365125,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,378.748,3.255,NA
"Africa",1860,NA,116988636,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,210.936,1.803,NA
"Africa",1861,NA,117301876,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,146.633,1.25,NA
"Africa",1862,NA,117778853,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,110.506,0.938,NA
"Africa",1863,NA,118275288,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,88.302,0.747,NA
"Africa",1864,NA,118775558,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,72.657,0.612,NA
"Africa",1865,NA,119279686,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,62.068,0.52,NA
"Africa",1866,NA,119787704,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,54.667,0.456,NA
"Africa",1867,NA,120299649,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.001,NA,47.522,0.395,NA
"Africa",1868,NA,120815545,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,42.466,0.351,NA
"Africa",1869,NA,121347692,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,38.728,0.319,NA
"Africa",1870,NA,122079985,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,36.237,0.297,NA
"Africa",1871,NA,122466078,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,33.782,0.276,NA
"Africa",1872,NA,123041990,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,31.4,0.255,NA
"Africa",1873,NA,123641171,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,29.385,0.238,NA
"Africa",1874,NA,124245323,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,28.176,0.227,NA
"Africa",1875,NA,124854484,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,26.271,0.21,NA
"Africa",1876,NA,125468701,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,25.318,0.202,NA
"Africa",1877,NA,126088007,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,24.622,0.195,NA
"Africa",1878,NA,126712451,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,23.23,0.183,NA
"Africa",1879,NA,127352247,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,22.607,0.178,NA
"Africa",1880,NA,128189317,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,24.146,0.188,NA
"Africa",1881,NA,128683453,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,24.476,0.19,NA
"Africa",1882,NA,129364909,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,24.988,0.193,NA
"Africa",1883,NA,130067281,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0.002,NA,24.292,0.187,NA
"Africa",1884,NA,130775459,NA,0.022,0,NA,NA,0.022,0,NA,NA,0.022,NA,NA,0,0,NA,0.002,0.002,0.002,NA,40.839,0.312,NA
"Africa",1885,NA,131489484,NA,0.037,0,NA,NA,0.037,0,NA,NA,0.059,NA,NA,0,0,NA,0.004,0.004,0.002,NA,41.22,0.313,NA
"Africa",1886,NA,132209404,NA,0.048,0,NA,NA,0.048,0,NA,NA,0.106,NA,NA,0,0,NA,0.005,0.005,0.002,NA,39.436,0.298,NA
"Africa",1887,NA,132935290,NA,0.048,0,NA,NA,0.048,0,NA,NA,0.154,NA,NA,0,0,NA,0.004,0.005,0.003,NA,38.996,0.293,NA
"Africa",1888,NA,133667182,NA,0.081,0.001,NA,NA,0.081,0.001,NA,NA,0.234,NA,NA,0,0,NA,0.007,0.007,0.003,NA,39.212,0.293,NA
"Africa",1889,NA,134316240,NA,0.132,0.001,NA,NA,0.132,0.001,NA,NA,0.366,NA,NA,0,0,NA,0.011,0.011,0.003,NA,38.457,0.286,NA
"Africa",1890,NA,135050718,NA,0.297,0.002,NA,NA,0.297,0.002,NA,NA,0.663,NA,NA,0,0,NA,0.023,0.024,0.003,NA,46.353,0.343,NA
"Africa",1891,NA,135370390,NA,0.297,0.002,NA,NA,0.297,0.002,NA,NA,0.96,NA,NA,0,0,NA,0.022,0.023,0.003,NA,49.688,0.367,NA
"Africa",1892,NA,135768025,NA,0.48,0.004,NA,NA,0.48,0.004,NA,NA,1.44,NA,NA,0,0,NA,0.035,0.036,0.003,NA,52.142,0.384,NA
"Africa",1893,NA,136087369,NA,1.799,0.013,NA,NA,1.799,0.013,NA,NA,3.239,NA,NA,0,0,NA,0.133,0.138,0.003,NA,55,0.404,NA
"Africa",1894,NA,136413556,NA,2.433,0.018,NA,NA,2.433,0.018,NA,NA,5.672,NA,NA,0,0,NA,0.174,0.18,0.003,NA,56.074,0.411,NA
"Africa",1895,NA,136746634,NA,3.338,0.024,NA,NA,3.338,0.024,NA,NA,9.01,NA,NA,0,0,NA,0.225,0.233,0.003,NA,58.005,0.424,NA
"Africa",1896,NA,137086659,NA,4.258,0.031,NA,NA,4.258,0.031,NA,NA,13.267,NA,NA,0,0,NA,0.278,0.289,0.003,NA,59.437,0.434,NA
"Africa",1897,NA,137433669,NA,4.778,0.035,NA,NA,4.778,0.035,NA,NA,18.045,NA,NA,0,0,NA,0.297,0.31,0.003,NA,61.02,0.444,NA
"Africa",1898,NA,137787711,NA,6.049,0.044,NA,NA,6.049,0.044,NA,NA,24.094,NA,NA,0,0,NA,0.357,0.371,0.003,NA,62.365,0.453,NA
"Africa",1899,NA,138168883,NA,5.518,0.04,NA,NA,5.518,0.04,NA,NA,29.612,NA,NA,0,0,NA,0.298,0.31,0.003,NA,63.006,0.456,NA
"Africa",1900,NA,138752199,NA,2.33,0.017,NA,NA,2.33,0.017,NA,NA,31.943,NA,NA,0,0,NA,0.119,0.124,0.003,NA,64.618,0.466,NA
"Africa",1901,NA,139021447,NA,3.909,0.028,NA,NA,3.909,0.028,NA,NA,35.852,NA,NA,0,0,NA,0.194,0.203,0.003,NA,69.349,0.499,NA
"Africa",1902,NA,139489077,NA,5.826,0.042,NA,NA,5.826,0.042,NA,NA,41.678,NA,NA,0,0,NA,0.282,0.295,0.004,NA,73.243,0.525,NA
"Africa",1903,NA,139992790,NA,7.896,0.056,NA,NA,7.896,0.056,NA,NA,49.574,NA,NA,0,0,NA,0.35,0.367,0.004,NA,77.658,0.555,NA
"Africa",1904,NA,140510536,NA,8.911,0.063,NA,NA,8.911,0.063,NA,NA,58.485,NA,NA,0,0,NA,0.391,0.411,0.004,NA,81.275,0.578,NA
"Africa",1905,NA,141042447,NA,10.263,0.073,NA,NA,10.263,0.073,NA,NA,68.748,NA,NA,0,0,NA,0.423,0.444,0.004,NA,82.737,0.587,NA
"Africa",1906,NA,141588654,NA,11.717,0.083,NA,NA,11.717,0.083,NA,NA,80.465,NA,NA,0,0,NA,0.462,0.485,0.004,NA,84.228,0.595,NA
"Africa",1907,NA,142149308,NA,12.93,0.091,NA,NA,12.93,0.091,NA,NA,93.395,NA,NA,0,0,NA,0.448,0.471,0.004,NA,85.99,0.605,NA
"Africa",1908,NA,142724535,NA,13.403,0.094,NA,NA,13.403,0.094,NA,NA,106.798,NA,NA,0,0,NA,0.483,0.51,0.004,NA,87.013,0.61,NA
"Africa",1909,NA,143305202,NA,15.385,0.107,NA,NA,15.385,0.107,NA,NA,122.183,NA,NA,0,0,NA,0.532,0.564,0.004,NA,89.251,0.623,NA
"Africa",1910,NA,144064903,NA,17.411,0.121,NA,NA,17.411,0.121,NA,NA,139.595,NA,NA,0,0,NA,0.574,0.608,0.004,NA,96.041,0.667,NA
"Africa",1911,NA,144480832,NA,16.865,0.117,NA,NA,16.854,0.117,NA,NA,156.46,NA,NA,0.011,0,NA,0.548,0.581,0.005,NA,97.62,0.676,NA
"Africa",1912,NA,145067004,NA,17.954,0.124,NA,NA,17.869,0.123,NA,NA,174.414,NA,NA,0.084,0.001,NA,0.555,0.586,0.005,NA,102.775,0.708,NA
"Africa",1913,NA,145657208,NA,19.606,0.135,0.473,NA,19.566,0.134,NA,NA,194.02,NA,NA,0.04,0,NA,0.559,0.594,0.005,NA,103.915,0.713,NA
"Africa",1914,NA,146256012,NA,19.551,0.134,NA,NA,19.243,0.132,NA,NA,213.571,NA,NA,0.308,0.002,NA,0.615,0.65,0.005,NA,103.896,0.71,NA
"Africa",1915,NA,146863516,NA,19.606,0.133,NA,NA,19.514,0.133,NA,NA,233.177,NA,NA,0.092,0.001,NA,0.626,0.672,0.005,NA,132.128,0.9,NA
"Africa",1916,NA,147479796,NA,23.255,0.158,NA,NA,23.072,0.156,NA,NA,256.432,NA,NA,0.183,0.001,NA,0.687,0.737,0.005,NA,141.2,0.957,NA
"Africa",1917,NA,148104957,NA,25.344,0.171,NA,NA,24.919,0.168,NA,NA,281.776,NA,NA,0.425,0.003,NA,0.716,0.765,0.005,NA,145.816,0.985,NA
"Africa",1918,NA,148713464,NA,24.725,0.166,NA,NA,23.856,0.16,NA,NA,306.501,NA,NA,0.868,0.006,NA,0.708,0.743,0.006,NA,144.428,0.971,NA
